2025-06-12 14:29:35,855 - INFO - Progress: 115000 files scanned, 1 large files found
2025-06-12 14:29:35,865 - INFO - Progress: 116000 files scanned, 1 large files found
2025-06-12 14:29:35,874 - INFO - Progress: 117000 files scanned, 1 large files found
2025-06-12 14:29:35,887 - INFO - Progress: 118000 files scanned, 1 large files found
2025-06-12 14:29:35,902 - INFO - Progress: 119000 files scanned, 1 large files found
2025-06-12 14:29:35,917 - INFO - Progress: 120000 files scanned, 1 large files found
2025-06-12 14:29:35,932 - INFO - Progress: 121000 files scanned, 1 large files found
2025-06-12 14:29:35,945 - INFO - Progress: 122000 files scanned, 1 large files found
2025-06-12 14:29:35,957 - INFO - Progress: 123000 files scanned, 1 large files found
2025-06-12 14:29:35,968 - INFO - Progress: 124000 files scanned, 1 large files found
2025-06-12 14:29:35,979 - INFO - Progress: 125000 files scanned, 1 large files found
2025-06-12 14:29:35,990 - INFO - Progress: 126000 files scanned, 1 large files found
2025-06-12 14:29:36,001 - INFO - Progress: 127000 files scanned, 1 large files found
2025-06-12 14:29:36,012 - INFO - Progress: 128000 files scanned, 1 large files found
2025-06-12 14:29:36,024 - INFO - Progress: 129000 files scanned, 1 large files found
2025-06-12 14:29:36,035 - INFO - Progress: 130000 files scanned, 1 large files found
2025-06-12 14:29:36,047 - INFO - Progress: 131000 files scanned, 1 large files found
2025-06-12 14:29:36,058 - INFO - Progress: 132000 files scanned, 1 large files found
2025-06-12 14:29:36,071 - INFO - Progress: 133000 files scanned, 1 large files found
2025-06-12 14:29:36,092 - INFO - Progress: 134000 files scanned, 1 large files found
2025-06-12 14:29:36,102 - INFO - Progress: 135000 files scanned, 1 large files found
2025-06-12 14:29:36,116 - INFO - Progress: 136000 files scanned, 1 large files found
2025-06-12 14:29:36,123 - INFO - Progress: 137000 files scanned, 1 large files found
2025-06-12 14:29:36,133 - INFO - Progress: 138000 files scanned, 1 large files found
2025-06-12 14:29:36,141 - INFO - Progress: 139000 files scanned, 1 large files found
2025-06-12 14:29:36,151 - INFO - Progress: 140000 files scanned, 1 large files found
2025-06-12 14:29:36,159 - INFO - Progress: 141000 files scanned, 1 large files found
2025-06-12 14:29:36,170 - INFO - Progress: 142000 files scanned, 1 large files found
2025-06-12 14:29:36,179 - INFO - Progress: 143000 files scanned, 1 large files found
2025-06-12 14:29:36,187 - INFO - Progress: 144000 files scanned, 1 large files found
2025-06-12 14:29:36,198 - INFO - Progress: 145000 files scanned, 1 large files found
2025-06-12 14:29:36,208 - INFO - Progress: 146000 files scanned, 1 large files found
2025-06-12 14:29:36,218 - INFO - Progress: 147000 files scanned, 1 large files found
2025-06-12 14:29:36,256 - INFO - Progress: 148000 files scanned, 1 large files found
2025-06-12 14:29:36,311 - INFO - Progress: 149000 files scanned, 1 large files found
2025-06-12 14:29:36,353 - INFO - Progress: 150000 files scanned, 1 large files found
2025-06-12 14:29:36,388 - INFO - Progress: 151000 files scanned, 1 large files found
2025-06-12 14:29:36,417 - INFO - Progress: 152000 files scanned, 1 large files found
